FG.CZCE,true
MA.CZCE,true
RM.CZCE,true
SR.CZCE,true
TA.CZCE,true
CF.CZCE,true
c.DCE,true
jd.DCE,true
l.DCE,true
pp.DCE,true
OI.CZCE,true
a.DCE,true
i.DCE,true
m.DCE,true
y.DCE,true
ag.SHFE,true
au.SHFE,true
bu.SHFE,true
cu.SHFE,true
p.DCE,true
rb.SHFE,true
ru.SHFE,true
zn.SHFE,true
al.SHFE,true
j.DCE,true
jm.DCE,true
IF.CFFEX,true
IC.CFFEX,true
TF.CFFEX,true
IH.CFFEX,true
cs.DCE,true
hc.SHFE,true
WH.CZCE,true
pb.SHFE,true
T.CFFEX,true
TC.CZCE,true
MMIF.CFFEX,true
MMIC.CFFEX,true
MMIH.CFFEX,true
v.DCE,true
ZC.CZCE,true
sn.SHFE,true
SF.CZCE,false
SM.CZCE,false
ni.SHFE,false
RS.CZCE,false
fu.SHFE,false
fb.DCE,false
bb.DCE,false
RI.CZCE,false
PM.CZCE,false
b.DCE,false
JR.CZCE,false
wr.SHFE,false
LR.CZCE,false
HHI.HKEX,true
HSI.HKEX,true
CUS.HKEX,true
CHH.HKEX,true
101.KRX,true
NK.SGXQ,true
TW.SGXQ,true
IN.SGXQ,true
CN.SGXQ,true
JB.SGXQ,true
TF.SGXQ,true
UC.SGXQ,true
CY.SGXQ,true
FEF.SGXQ,true
MXMY.SGXQ,true
S50.TFEX,true
S_AP.SFE,true
ES.CME,true
